Optimized vs Binary Merkle Tree Modes

Blocks, Binary Time, Optimized Time
830100,  0.331027,  0.219556
831100,  0.330843,  0.220021
832100,  0.330819,  0.220094
833100,  0.332058,  0.218057
834100,  0.330886,  0.219866
835100,  0.331760,  0.220226
836100,  0.331485,  0.219300
837100,  0.331484,  0.220058
838100,  0.332597,  0.219934
839100,  0.331316,  0.219902
840100,  0.332438,  0.220166
841100,  0.332423,  0.219799
842100,  0.331716,  0.219861
843100,  0.331786,  0.219366
844100,  0.331745,  0.220191
845100,  0.330045,  0.220093
846100,  0.332408,  0.219718
847100,  0.331328,  0.219730
848100,  0.331253,  0.219959
849100,  0.330294,  0.220091
850100,  0.333438,  0.219890
851100,  0.329743,  0.219681
852100,  0.332440,  0.220078
853100,  0.330935,  0.219855
854100,  0.331927,  0.219742
855100,  0.330899,  0.219962
856100,  0.330430,  0.219719
857100,  0.331795,  0.219773
858100,  0.330592,  0.219969
859100,  0.330776,  0.220219
860100,  0.328833,  0.220031
861100,  0.330420,  0.219802
862100,  0.331607,  0.219781
863100,  0.330481,  0.220172
864100,  0.330863,  0.219920
865100,  0.330930,  0.220013
866100,  0.330541,  0.219218
867100,  0.331047,  0.219778
868100,  0.330100,  0.220303
869100,  0.330887,  0.219976
870100,  0.331857,  0.219702
871100,  0.331627,  0.219680
872100,  0.331395,  0.219903
873100,  0.330728,  0.219850
874100,  0.331365,  0.219757
875100,  0.332173,  0.220046
876100,  0.331684,  0.220043
877100,  0.331475,  0.219718
878100,  0.330264,  0.219996
879100,  0.331398,  0.220173
880100,  0.330697,  0.220315
881100,  0.331196,  0.219948
882100,  0.330452,  0.220381
883100,  0.330864,  0.218919
884100,  0.331902,  0.218931
885100,  0.332112,  0.219754
886100,  0.331907,  0.219767
887100,  0.329396,  0.219888
888100,  0.328909,  0.219896
889100,  0.330895,  0.220011
890100,  0.331725,  0.220631
891100,  0.329852,  0.219458
892100,  0.331697,  0.219774
893100,  0.332326,  0.219893
894100,  0.331624,  0.219974
895100,  0.329962,  0.219782
896100,  0.332470,  0.218848
897100,  0.330711,  0.220099
898100,  0.331472,  0.220024
899100,  0.330511,  0.219904
900100,  0.332912,  0.219841
901100,  0.330288,  0.220191
902100,  0.331548,  0.219832
903100,  0.331532,  0.220006
904100,  0.331728,  0.219776
905100,  0.330268,  0.219883
906100,  0.329500,  0.219832
907100,  0.331550,  0.219899
908100,  0.330476,  0.219952
909100,  0.332355,  0.219957
910100,  0.333055,  0.219498
911100,  0.331205,  0.220058
912100,  0.329855,  0.220016
913100,  0.331881,  0.220004
914100,  0.332329,  0.219720
915100,  0.331741,  0.219348
916100,  0.332105,  0.220660
917100,  0.330355,  0.219988
918100,  0.331930,  0.219842
919100,  0.330945,  0.219956
920100,  0.330858,  0.219920
921100,  0.331335,  0.220039
922100,  0.331959,  0.220157
923100,  0.331600,  0.219807
924100,  0.330045,  0.219999
925100,  0.331256,  0.219883
926100,  0.331076,  0.220377
927100,  0.330590,  0.219990
928100,  0.331367,  0.219092
929100,  0.331084,  0.219821
930100,  0.331092,  0.219906
931100,  0.331092,  0.219830
932100,  0.333305,  0.219667
933100,  0.331301,  0.219765
934100,  0.330944,  0.219864
935100,  0.330923,  0.219467
936100,  0.332314,  0.219386
937100,  0.331334,  0.220111
938100,  0.331934,  0.219876
939100,  0.330205,  0.219655
940100,  0.331257,  0.219809
941100,  0.330649,  0.219803
942100,  0.330553,  0.219892
943100,  0.330718,  0.219810
944100,  0.329719,  0.219862
945100,  0.330833,  0.220061
946100,  0.332337,  0.220101
947100,  0.330504,  0.220546
948100,  0.331424,  0.220225
949100,  0.330377,  0.219853
950100,  0.330723,  0.220868
951100,  0.330002,  0.220305
952100,  0.329954,  0.219866
953100,  0.330364,  0.218853
954100,  0.329522,  0.219838
955100,  0.330368,  0.219716
956100,  0.329917,  0.218411
957100,  0.331119,  0.219946
958100,  0.331479,  0.219968
959100,  0.330673,  0.219626
960100,  0.332094,  0.219057
961100,  0.332308,  0.219867
962100,  0.331742,  0.219798
963100,  0.330663,  0.220077
964100,  0.331719,  0.219869
965100,  0.331271,  0.218587
966100,  0.331605,  0.220068
967100,  0.331104,  0.219994
968100,  0.330295,  0.219474
969100,  0.330684,  0.219394
970100,  0.332155,  0.219804
971100,  0.331696,  0.219923
972100,  0.330295,  0.219008
973100,  0.331191,  0.220040
974100,  0.331672,  0.219596
975100,  0.330500,  0.219958
976100,  0.329897,  0.219793
977100,  0.331430,  0.219649
978100,  0.332534,  0.219980
979100,  0.331877,  0.219839
980100,  0.330768,  0.219846
981100,  0.330832,  0.219912
982100,  0.331652,  0.218730
983100,  0.330129,  0.219311
984100,  0.332114,  0.219878
985100,  0.330840,  0.219779
986100,  0.331868,  0.220257
987100,  0.330397,  0.219652
988100,  0.333111,  0.220012
989100,  0.330604,  0.220254
990100,  0.329582,  0.220254
991100,  0.331857,  0.220188
992100,  0.331250,  0.218500
993100,  0.332210,  0.219952
994100,  0.331723,  0.219937
995100,  0.330752,  0.218966
996100,  0.331513,  0.220070
997100,  0.329839,  0.219930
998100,  0.331705,  0.220133
999100,  0.331594,  0.218737
